person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cibil_score
22,59000,RENT,123.0,PERSONAL,35000,16.02,1,0.59,Y,3,688
21,9600,OWN,5.0,EDUCATION,1000,11.14,0,0.1,N,2,778
25,9600,MORTGAGE,1.0,MEDICAL,5500,12.87,1,0.57,N,3,714
23,65500,RENT,4.0,MEDICAL,35000,15.23,1,0.53,N,2,742
24,54400,RENT,8.0,MEDICAL,35000,14.27,1,0.55,Y,4,707
21,9900,OWN,2.0,VENTURE,2500,7.14,1,0.25,N,2,860
26,77100,RENT,8.0,EDUCATION,35000,12.42,1,0.45,N,3,770
24,78956,RENT,5.0,MEDICAL,35000,11.11,1,0.44,N,4,788
24,83000,RENT,8.0,PERSONAL,35000,8.9,1,0.42,N,2,882
21,10000,OWN,6.0,VENTURE,1600,14.74,1,0.16,N,3,672
22,85000,RENT,6.0,VENTURE,35000,10.37,1,0.41,N,4,760
21,10000,OWN,2.0,HOMEIMPROVEMENT,4500,8.63,1,0.45,N,2,874
23,95000,RENT,2.0,VENTURE,35000,7.9,1,0.37,N,2,887
26,108160,RENT,4.0,EDUCATION,35000,18.39,1,0.32,N,4,635
23,115000,RENT,2.0,EDUCATION,35000,7.9,0,0.3,N,4,823
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,30000,10.65,0,0.06,N,3,752
23,120000,RENT,0.0,EDUCATION,35000,7.9,0,0.29,N,4,821
23,92111,RENT,7.0,MEDICAL,35000,20.25,1,0.32,N,4,502
23,113000,RENT,8.0,DEBTCONSOLIDATION,35000,18.25,1,0.31,N,4,651
24,10800,MORTGAGE,8.0,EDUCATION,1750,10.99,1,0.16,N,2,773
25,162500,RENT,2.0,VENTURE,35000,7.49,0,0.22,N,4,829
25,137000,RENT,9.0,PERSONAL,34800,16.77,0,0.25,Y,2,637
22,65000,RENT,4.0,EDUCATION,34000,17.58,1,0.52,N,4,651
24,10980,OWN,0.0,PERSONAL,1500,7.29,0,0.14,N,3,863
22,80000,RENT,3.0,PERSONAL,33950,14.54,1,0.42,Y,4,670
24,67746,RENT,8.0,HOMEIMPROVEMENT,33000,12.68,1,0.49,N,3,732
21,11000,MORTGAGE,3.0,VENTURE,4575,17.74,1,0.42,Y,3,611
23,11000,OWN,0.0,PERSONAL,1400,9.32,0,0.13,N,3,857
24,65000,RENT,6.0,HOMEIMPROVEMENT,32500,9.99,1,0.5,N,3,771
21,11389,OTHER,5.0,EDUCATION,4000,12.84,1,0.35,Y,2,743
21,11520,OWN,5.0,MEDICAL,2000,11.12,1,0.17,N,3,774
25,120000,RENT,2.0,VENTURE,32000,6.62,0,0.27,N,2,848
26,95000,RENT,7.0,HOMEIMPROVEMENT,31050,14.17,1,0.33,Y,3,726
25,306000,RENT,2.0,DEBTCONSOLIDATION,24250,13.85,0,0.08,N,3,741
26,300000,MORTGAGE,10.0,MEDICAL,7800,13.49,0,0.03,N,4,727
21,12000,OWN,5.0,EDUCATION,2500,7.51,1,0.21,N,4,859
22,48000,RENT,1.0,EDUCATION,30000,18.39,1,0.63,N,2,615
24,64000,RENT,8.0,DEBTCONSOLIDATION,30000,14.54,1,0.47,Y,3,664
